id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city_zone
32409744,紧邻碧雅威医院一卧室独立厨卫电梯公寓1,110084530,BabyBlue,Huai Khwang,13.75243,100.57977,Entire home/apt,1400.0,3,2,0.05,5,0,0,Inner Zone
32410171,曼谷市中心靠近Sathorn38平米旅行居家公寓,41927068,小黑,Yan na wa,13.70093,100.54362,Entire home/apt,1200.0,5,16,0.34,1,27,6,Inner Zone
32410835,48627 เสรีไทย 39 แขวง คลองกุ่ม เขต บึงกุ่ม กรุงเท,243397250,Zaydyn,Bueng Kum,13.78025,100.66755,Entire home/apt,1108.0,1,0,0.0,1,365,0,Middle Zone
32703942,Central World Siam Platinum Sky Pool,420188,Baker,Ratchathewi,13.75241,100.53749,Entire home/apt,2100.0,30,82,1.78,9,19,22,Inner Zone
32704815,SUITE with POOL access near GRAND PALACE 15 min,16232330,Natthaphon,Bang Phlat,13.77814,100.48084,Hotel room,2100.0,1,0,0.0,2,341,0,Middle Zone
32411757,New Condo w Great View Facilities Sukumvit 11,243407322,Pascal,Vadhana,13.7445,100.55526,Entire home/apt,2000.0,21,21,0.45,3,254,2,Inner Zone
32413837,Midtown Blossom sathorn 2 bedrooms,211976669,Daranee,Sathon,13.70987,100.51984,Private room,1300.0,2,24,0.53,1,279,7,Inner Zone
32705091,1 min walk to BTS N1 StationA Near Siam MBK,245924343,Gee,Ratchathewi,13.75233,100.5309,Private room,1529.0,1,24,0.52,2,176,6,Inner Zone
32414759,Longterm Romantic flat of living escape Bangkok,229695467,Tonyfan,Huai Khwang,13.7549,100.57486,Entire home/apt,18000.0,360,0,0.0,1,358,0,Inner Zone
32417855,Sathon CBD Luxury Apartment Highrise CityView,237116419,Mint,Sathon,13.71365,100.5357,Entire home/apt,2038.0,2,10,0.22,1,168,6,Inner Zone
32418333,EveRyDaY SUKHUMVIT 2224 PHROMPHONG CLOUD POOL,24732047,EveRyDaY Is A HoLidAy,Khlong Toei,13.72544,100.56622,Entire home/apt,1071.0,3,52,1.12,6,107,0,Inner Zone
32418409,Amazing Flat in Ratchatewi,220529068,Krit,Ratchathewi,13.75215,100.53052,Entire home/apt,4500.0,28,0,0.0,1,180,0,Inner Zone
32428205,Luxury Private room in central of Thonglor Bkk,119085827,Ekkachai,Vadhana,13.73663,100.5824,Private room,2000.0,90,0,0.0,2,173,0,Inner Zone
32432913,Silvios Bistro,41512313,Silvio,Bang Rak,13.71919,100.51695,Hotel room,1280.0,1,0,0.0,3,0,0,Inner Zone
32437682,EmQuartierTerminal21SiamSkyTrainCityCenter,243654968,Viia,Vadhana,13.73218,100.57618,Entire home/apt,9338.0,1,91,1.94,6,140,25,Inner Zone
32451343,STYLIST VIEW ROOM near Airport Link Pratunam,227240004,Hyde Park,Ratchathewi,13.75872802734375,100.5439682006836,Private room,1899.0,1,4,0.09,8,358,1,Inner Zone
32454889,New highend community apartment 1B BTS nearby,128943709,Rain,Vadhana,13.74041,100.59074,Entire home/apt,2100.0,21,2,0.57,26,93,2,Inner Zone
32456706,Pink Dream Brand New 2Bdrm Near to Nana and Asoke,133849226,Aidan,Ratchathewi,13.74869,100.55655,Entire home/apt,2736.0,28,84,1.81,20,177,0,Inner Zone
32880572,Stunning Bungalow Private Pool,194379876,Cegmw,Bangkok Yai,13.73128,100.46942,Private room,5368.0,1,0,0.0,1,365,0,Inner Zone
32705109,KING BR w POOL access near GRAND PALACE 15 mins,16232330,Natthaphon,Bang Phlat,13.77813,100.48078,Hotel room,1464.0,1,0,0.0,2,361,0,Middle Zone
32709243,209 3mins BTS Near DMK JJ Market 711,36424698,Viewii Siraprapha,Chatu Chak,13.82563,100.56532,Entire home/apt,631.0,30,58,1.25,9,65,0,Inner Zone
32458730,คอมมอลเวล จรัญสนิทวงศ์ 49,175762402,Supaporn,Bang Phlat,13.7773,100.48457,Entire home/apt,650.0,30,0,0.0,1,83,0,Middle Zone
32459587,Hidden Gem Midnight 1 Bedroom Near BTS,238195812,Exostay,Khlong Toei,13.72421,100.56753,Entire home/apt,1580.0,2,84,1.8,13,310,22,Inner Zone
32711876,New Room 5 mins to BTS Victory Monument,232730913,Apple,Ratchathewi,13.76381,100.54087,Entire home/apt,1350.0,28,35,0.75,4,148,2,Inner Zone
32713515,NewLive Like a LocalThonglor BTS stn2Bedrooms,245946613,Ally,Khlong Toei,13.72369,100.57352,Entire home/apt,2300.0,300,4,0.09,2,362,0,Inner Zone
32460993,Hidden Vintage Private Bedroom Near SukhumvitBTS,238195812,Exostay,Khlong Toei,13.7254,100.56545,Entire home/apt,1580.0,2,76,1.63,13,130,23,Inner Zone
33023887,Bangkok house near Udom Suk sky train station,215166080,Eric,Bang Na,13.67436,100.63879,Entire home/apt,2597.0,3,0,0.0,1,0,0,Middle Zone
33024691,Chatuchak Park BrandNew Condo 5star Facilities,248564618,Gerard,Phaya Thai,13.79486,100.54924,Entire home/apt,1300.0,21,33,0.73,1,310,2,Inner Zone
32881277,Studio room near Nana Skytrain Centre BKK 03,108026474,Orathai,Khlong Toei,13.73654,100.55433,Entire home/apt,1212.0,2,68,1.49,4,71,15,Inner Zone
32881980,Studio room near Nana Skytrain Centre BKK 04,108026474,Orathai,Khlong Toei,13.73752,100.55331,Entire home/apt,1165.0,2,58,1.27,4,123,13,Inner Zone
32882941,Best ViewSuperb condo,199624792,Ho,Vadhana,13.7396,100.58862,Entire home/apt,1450.0,21,4,0.09,23,149,3,Inner Zone
32884080,Skyline Condo PoolGymShuttle bus,199624792,Ho,Vadhana,13.74137,100.59024,Entire home/apt,1400.0,21,2,0.45,23,134,2,Inner Zone
32884559,Boutique Condo shoppingluxury condoskyline,199624792,Ho,Vadhana,13.74083,100.59086,Entire home/apt,1400.0,21,4,0.48,23,156,4,Inner Zone
32896505,top location on junction btsmrt,104769188,Yan,Khlong Toei,13.70943,100.59896,Entire home/apt,3500.0,15,0,0.0,9,365,0,Inner Zone
32902767,Super skylinePoolGymfree shuttle bus bkce22,199624792,Ho,Vadhana,13.74072,100.59078,Entire home/apt,1450.0,21,0,0.0,23,160,0,Inner Zone
32903147,Family Suite Room,147470479,Suriya,Phra Nakhon,13.76726,100.50172,Private room,2036.0,1,5,0.12,5,351,1,Inner Zone
32903204,4Bed Dormitory,147470479,Suriya,Phra Nakhon,13.76865,100.50139,Shared room,476.0,1,19,0.48,5,364,6,Inner Zone
32903919,Luxury condoSuperb skyline view bkce21,199624792,Ho,Vadhana,13.73937,100.59028,Entire home/apt,1450.0,21,0,0.0,23,134,0,Inner Zone
32904357,Luxury 2 BedsCentral WorldLumpini ParkSiam,20133201,Willam,Ratchathewi,13.75094,100.55649,Entire home/apt,2814.0,2,28,0.61,33,292,0,Inner Zone
32906302,Mix Crow,242296638,Jimmy,Ratchathewi,13.75906,100.54008,Shared room,2700.0,1,0,0.0,5,180,0,Inner Zone
32910316,近火车夜大卧室大客厅大床中文房东820,119203329,Leona,Huai Khwang,13.75598,100.57655,Entire home/apt,900.0,30,23,0.51,20,74,0,Inner Zone
32910610,Sir Castle Black Bangkok,242296638,Jimmy,Ratchathewi,13.75937,100.54171,Private room,1300.0,1,0,0.0,5,180,0,Inner Zone
32715709,Rooftop Infinity Sky Pool Nerr to Central World,133849226,Aidan,Ratchathewi,13.75007,100.54311,Entire home/apt,2445.0,28,85,1.84,20,159,2,Inner Zone
32716795,2 cozy BRsChina EmbassyTrain MarketMRT,70728816,Ella,Huai Khwang,13.75954,100.57052,Entire home/apt,1800.0,5,57,1.23,6,300,11,Inner Zone
32725938,Luxury condoSuperb skyline view,128943709,Rain,Vadhana,13.73945,100.58881,Entire home/apt,2100.0,21,1,0.23,26,139,1,Inner Zone
33024940,246 House KingBR Walk to Grand Palace Wat Pho,248201804,Patanee,Phra Nakhon,13.74853,100.49624,Private room,914.0,1,78,1.77,4,108,21,Inner Zone
33025678,Luxury Design Condo in the heart of Bangkok,3222935,Jerry,Yan na wa,13.69299,100.54462,Entire home/apt,20000.0,1,0,0.0,1,365,0,Inner Zone
33029571,Loft21 Suvarnabhumi Studio,47634456,Poompong,Lat Krabang,13.76255,100.74873,Private room,590.0,1,5,0.55,4,353,5,Outer Zone
33030609,Lovely 1BRBTS AsokMRT SukhumvitTerminal 21,62257044,Ludoping,Khlong Toei,13.73716,100.55746,Entire home/apt,1797.0,5,31,0.73,56,166,22,Inner Zone
32726137,Luxury condoSuperb skyline view,128943709,Rain,Vadhana,13.741,100.59042,Entire home/apt,2100.0,15,4,0.4,26,163,4,Inner Zone
32726372,Pine Place Sukhumvit 50,14436537,Pinn,Khlong Toei,13.70483,100.59124,Entire home/apt,1200.0,3,4,0.09,2,353,2,Inner Zone
32915949,Convenient Good Price to Stay,160661192,Porla,Suanluang,13.73823,100.64294,Private room,866.0,30,0,0.0,2,180,0,Middle Zone
32726641,New comfy studioCity CenterPoolPratunamBTS,227240004,Hyde Park,Ratchathewi,13.757523536682127,100.5433349609375,Private room,1599.0,1,3,0.07,8,359,0,Inner Zone
32729697,BTS Sukhumvit Onnut 站 全新一房一厅One new condo one BR,210559448,Cora,Khlong Toei,13.70371,100.59211,Entire home/apt,100000.0,2,10,0.23,6,90,0,Inner Zone
